DATAFLOW,REF_AREA,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,UNIT_MULTIPLIER,UNIT_MEASURE,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,TIME_PERIOD_METHOD,REF_PERIOD,COVERAGE_TIME,AGE,year,iso3
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,27.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Afghanistan 2019-2020 Income; Expenditure & Labour Force Survey; National Statistics and Information Authority,,,EOF: End of fieldwork,,2010-2023,Y15T49: 15 to 49 years old,2020,AFG
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,77.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2017-2018,,,EOF: End of fieldwork,,2002-2018,Y15T49: 15 to 49 years old,2018,ALB
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,90.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,EOF: End of fieldwork,,2005-2020,Y15T49: 15 to 49 years old,2020,ARG
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,52.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,MICS 2021-2022,,,EOF: End of fieldwork,,2001-2022,Y15T49: 15 to 49 years old,2022,BEN
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BFA: Burkina Faso,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,72.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2021,Statcompiler,,EOF: End of fieldwork,,2003-2021,Y15T49: 15 to 49 years old,2021,BFA
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,38.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Household Survey 2022,,,EOF: End of fieldwork,,2000-2022,Y15T49: 15 to 49 years old,2022,BGD
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,99.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2012-2019,Y15T49: 15 to 49 years old,2019,BLR
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRA: Brazil,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,92.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Brazil Live Birth Information System (SINASC); Ministry of Health [Brazil]; 2023(2659187 total of births of women (aged 15-49 years) and 2456041 with 4+ antenatal care visits),,,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old,2021,BRA
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CAF: Central African Republic,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,41.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018-2019,,,EOF: End of fieldwork,,2010-2019,Y15T49: 15 to 49 years old,2019,CAF
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHN: China,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,92.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,National Health Services Survey 2018,,,EOF: End of fieldwork,,2013-2018,Y15T49: 15 to 49 years old,2018,CHN
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,56.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2021,,,EOF: End of fieldwork,,2005-2021,Y15T49: 15 to 49 years old,2021,CIV
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CMR: Cameroon,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,64.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2018,,,EOF: End of fieldwork,,2004-2018,Y15T49: 15 to 49 years old,2018,CMR
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,42.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2017-2018,,,EOF: End of fieldwork,,2007-2018,Y15T49: 15 to 49 years old,2018,COD
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COM: Comoros,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,64.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,MICS 2022,,,EOF: End of fieldwork,,2012-2022,Y15T49: 15 to 49 years old,2022,COM
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CPV: Cabo Verde,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,85.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Inquérito Demográfico ede Saúde Reprodutiva 2018,,,EOF: End of fieldwork,,2005-2018,Y15T49: 15 to 49 years old,2018,CPV
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,94.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018,,,EOF: End of fieldwork,,2008-2018,Y15T49: 15 to 49 years old,2018,CRI
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,79.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,The total includes 27 adolescents and women between the ages of 15 and 49 with a live-born child in the last 2 years without weighting from la Isla de la Juventud.,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2009-2019,Y15T49: 15 to 49 years old,2019,CUB
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,92.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2002-2019,Y15T49: 15 to 49 years old,2019,DOM
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,69.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018-2019,,,EOF: End of fieldwork,,2013-2019,Y15T49: 15 to 49 years old,2019,DZA
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,89.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Egypt Family Health Survey 2021 (Key findings),,,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old,2021,EGY
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,43.0,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey (Mini) 2019,,,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old,2019,ETH
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FJI: Fiji,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,88.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2021,,,EOF: End of fieldwork,,2013-2021,Y15T49: 15 to 49 years old,2021,FJI
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GAB: Gabon,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,77.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2019-21,Statcompiler,,EOF: End of fieldwork,,2001-2021,Y15T49: 15 to 49 years old,2021,GAB
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GEO: Georgia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,85.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Health Care; Statistical Yearbook 2020 Georgia. Tbilisi: Ministry of Labour; Health and Social Affairs of Georgia; National Centre for Disease Control and Public Health; 2021.,,,EOF: End of fieldwork,,2005-2020,Y15T49: 15 to 49 years old,2020,GEO
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GHA: Ghana,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,87.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Surveys (DHS),Statcompiler data extracted for:GH2022DHS,,EOF: End of fieldwork,,2003-2022,Y15T49: 15 to 49 years old,2022,GHA
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GIN: Guinea,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,58.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Malaria Indicator Survey 2021,,,EOF: End of fieldwork,,2005-2021,Y15T49: 15 to 49 years old,2021,GIN
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,78.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,The Gambia Demographic and Health Survey 2019-20,Statcompiler,,EOF: End of fieldwork,,2006-2020,Y15T49: 15 to 49 years old,2020,GMB
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GNB: Guinea-Bissau,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,80.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018-2019,,,EOF: End of fieldwork,,2010-2019,Y15T49: 15 to 49 years old,2019,GNB
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GUY: Guyana,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,84.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,EOF: End of fieldwork,,2009-2020,Y15T49: 15 to 49 years old,2020,GUY
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HND: Honduras,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,88.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Encuesta Nacional de Demografía y Salud/Encuesta de Indicadores Múltiples por Conglomerados 2019,,,EOF: End of fieldwork,,2001-2019,Y15T49: 15 to 49 years old,2019,HND
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HRV: Croatia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,96.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Births in healthcare institutions in Croatia in 2022,,,EOF: End of fieldwork,,2014-2022,Y15T49: 15 to 49 years old,2022,HRV
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,IND: India,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,58.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,NFHS 2019-2021,,,EOF: End of fieldwork,,2006-2021,Y15T49: 15 to 49 years old,2021,IND
