iso3,year,anc4_coverage,sab_coverage,births_2022,track_status
AFG,2020,27.6,61.8,1446.699,Acceleration Needed
ARG,2020,90.4,98.8,627.741,Achieved
BEN,2022,52.6,80.8,481.715,Acceleration Needed
BFA,2021,72.1,95.8,793.031,Acceleration Needed
BGD,2022,38.3,69.8,2994.966,On Track
BRA,2021,92.3,98.2,2723.266,Achieved
CAF,2019,41.4,40.3,236.643,Acceleration Needed
CIV,2021,56.3,84.0,943.133,Acceleration Needed
CMR,2018,64.9,69.0,959.096,Acceleration Needed
COD,2018,42.9,85.2,4133.987,Acceleration Needed
COM,2022,64.3,97.2,24.201,Acceleration Needed
CPV,2018,85.6,97.3,9.908,Achieved
DOM,2019,92.6,99.2,203.625,Acceleration Needed
DZA,2019,69.8,98.8,923.648,Achieved
EGY,2021,89.9,97.1,2453.941,Achieved
ETH,2019,43.0,49.8,3928.445,Acceleration Needed
FJI,2021,88.7,99.8,17.821,Acceleration Needed
GAB,2021,77.8,95.2,64.022,Acceleration Needed
GMB,2020,78.5,83.8,88.535,Acceleration Needed
GNB,2019,80.7,53.8,64.479,Acceleration Needed
GUY,2020,84.7,97.6,16.129,On Track
HND,2019,88.3,94.1,217.59,Achieved
IND,2021,58.4,89.4,23056.027,On Track
IRQ,2018,67.9,95.6,1203.188,Achieved
JOR,2018,91.5,99.7,245.484,Achieved
KEN,2022,66.0,89.3,1488.394,Acceleration Needed
KHM,2022,86.0,98.7,318.335,Achieved
KIR,2019,67.0,91.9,3.512,Acceleration Needed
LBR,2020,87.3,84.4,164.452,Acceleration Needed
LSO,2018,76.6,86.6,59.49,Acceleration Needed
MAR,2018,53.5,86.6,643.109,Achieved
MDG,2021,59.9,45.8,906.13,Acceleration Needed
MLI,2018,43.3,67.3,932.317,Acceleration Needed
MNE,2018,94.2,98.8,6.859,Achieved
MNG,2018,88.5,99.3,69.481,Achieved
MRT,2021,38.5,70.4,156.047,Acceleration Needed
MWI,2020,50.5,96.4,665.678,Acceleration Needed
MYS,2022,98.1,99.8,509.232,Achieved
NER,2021,37.3,43.7,1180.654,Acceleration Needed
NGA,2021,60.4,50.7,8002.758,Acceleration Needed
NPL,2022,80.5,80.1,616.657,On Track
PHL,2022,83.0,89.6,2499.081,Acceleration Needed
PNG,2018,49.0,56.4,254.718,Acceleration Needed
PRY,2021,81.0,91.2,137.96,Achieved
PSE,2020,94.8,99.7,145.449,Achieved
ROU,2021,70.1,94.7,191.763,Achieved
RWA,2020,47.2,94.2,406.214,Acceleration Needed
SAU,2019,79.7,94.8,615.69,Achieved
SLE,2019,78.8,86.9,265.023,Acceleration Needed
SOM,2019,24.4,31.9,759.044,Acceleration Needed
SRB,2019,96.6,99.9,66.557,Achieved
SSD,2020,31.1,39.7,315.39,Acceleration Needed
SWZ,2022,73.5,93.4,28.476,Acceleration Needed
TCA,2020,93.2,100.0,0.56,Achieved
THA,2022,88.3,99.6,631.239,Achieved
TON,2019,88.5,98.3,2.456,Achieved
TUN,2018,84.1,99.5,192.759,Achieved
TUV,2020,60.3,99.5,0.265,Achieved
TZA,2022,65.1,85.0,2346.821,Acceleration Needed
UZB,2022,89.5,99.0,776.815,Achieved
VNM,2021,88.2,96.1,1442.809,Achieved
ZMB,2019,63.5,80.4,683.355,Acceleration Needed
ZWE,2019,71.5,86.0,491.195,Acceleration Needed
